Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
346,1982,RAM,2,166,297,1999,11,14,1025,13,250,24,23,15,9,0
347,1981,RAM,6,235,477,2557,15,32,2236,17,351,36,36,26,17,0
348,1980,RAM,11,261,451,3207,31,23,2799,17,289,53,52,30,16,0
349,1979,RAM,9,242,456,2673,19,29,2460,16,309,39,36,25,13,1
350,1978,RAM,12,236,466,2874,13,22,2308,12,245,33,31,43,29,0
351,1977,RAM,10,182,339,2016,16,11,2575,19,146,35,32,30,18,0
352,1976,RAM,10,171,315,2341,17,15,2528,23,190,44,36,26,17,0
353,1975,RAM,12,181,334,2195,14,17,2371,18,135,36,31,26,21,1
354,1974,RAM,10,169,338,2207,16,13,2125,16,181,34,26,16,9,0
355,1973,RAM,12,144,271,1981,22,11,2925,18,178,42,40,47,30,3
356,1972,RAM,6,184,371,2146,13,22,2209,17,286,31,31,41,24,1
357,1971,RAM,8,185,370,2094,18,11,2139,15,260,37,37,29,18,0
358,1970,RAM,9,218,426,2508,17,13,1763,12,202,34,34,45,29,0
359,1969,RAM,11,222,416,2521,25,7,1413,8,243,36,36,34,22,1
360,1968,RAM,10,189,384,2172,20,17,1932,14,200,37,37,31,17,1
361,1967,RAM,11,206,390,2734,28,16,1906,16,196,48,48,43,20,1
362,1966,RAM,8,249,450,2540,12,17,1742,12,212,29,29,49,28,1
363,1994,RAI,9,281,488,3267,22,16,1512,7,327,31,31,28,22,0
364,1993,RAI,10,281,495,3589,17,14,1425,10,326,29,27,44,35,0
365,1992,RAI,7,233,471,2590,20,23,1794,7,281,28,28,26,15,1
366,1991,RAI,9,220,414,2719,20,18,1706,8,297,30,29,34,29,1
367,1990,RAI,12,183,336,2688,19,10,2028,20,268,42,40,20,15,0
368,1989,RAI,8,201,414,2951,21,22,2038,9,297,34,34,34,23,1
369,1988,RAI,7,219,496,3109,21,20,1852,15,369,39,37,29,18,0
370,1987,RAI,5,247,457,3070,19,18,2197,13,289,35,34,30,19,0
371,1986,RAI,8,281,530,3509,27,25,1790,6,346,36,36,28,21,1
372,1985,RAI,12,269,506,3146,20,24,2262,18,308,42,40,32,20,1
373,1984,RAI,11,266,491,3358,21,28,1886,19,278,42,40,27,20,2
374,1983,RAI,12,301,504,3446,31,24,2240,18,338,53,51,27,21,2
375,1982,RAI,8,154,267,1875,14,15,1080,15,200,33,32,16,10,0
376,2023,PIT,10,323,506,3163,13,9,2010,16,324,28,27,31,29,1
377,2022,PIT,9,364,571,3411,12,14,2073,16,346,26,26,44,34,0
378,2021,PIT,9,425,664,3778,23,11,1583,10,398,29,27,40,36,0
379,2020,PIT,12,428,656,4003,35,11,1351,12,312,45,41,24,23,1
380,2019,PIT,8,315,510,2981,18,19,1447,7,303,28,28,31,29,0
381,2018,PIT,9,459,689,5008,35,17,1445,16,360,49,44,23,16,2
382,2017,PIT,13,384,590,4380,29,15,1667,12,308,39,37,38,35,1
383,2016,PIT,11,381,596,4202,33,15,1760,13,327,37,37,28,24,1
384,2015,PIT,10,391,590,4603,26,21,1724,16,319,34,32,42,35,0
385,2014,PIT,11,411,612,4825,33,10,1752,10,368,45,45,32,29,1
386,2013,PIT,8,377,586,4017,28,14,1383,9,370,39,39,32,30,1
387,2012,PIT,8,354,574,3787,27,14,1537,8,314,34,34,31,28,0
388,2011,PIT,12,341,539,4054,21,15,1903,13,227,36,36,31,23,2
389,2010,PIT,12,298,479,3601,22,9,1924,15,232,38,38,37,29,0
390,2009,PIT,9,351,536,4148,28,14,1793,10,324,41,41,31,27,0
391,2008,PIT,12,303,506,3301,19,15,1690,16,223,37,36,31,27,1
392,2007,PIT,10,282,442,3071,34,14,2168,9,269,44,44,25,23,0
393,2006,PIT,8,312,523,3733,23,23,1992,16,315,41,41,27,20,0
394,2005,PIT,11,228,379,2926,21,14,2223,21,258,45,45,29,24,1
395,2004,PIT,15,228,358,2720,20,13,2464,16,251,40,40,33,28,1
396,2003,PIT,6,306,532,3304,19,17,1488,10,327,32,31,32,23,0
397,2002,PIT,10,350,551,3832,26,22,2120,15,345,37,35,40,29,0
